pipeline,dimension,series,auc
ws,On/Off-Task,Full_Shuffled,0.5290306513409961
ws,On/Off-Task,Full_Shuffled,0.5189022988505747
ws,On/Off-Task,Full_Shuffled,0.481455938697318
ws,On/Off-Task,Full_Shuffled,0.494287356321839
ws,On/Off-Task,Full_Shuffled,0.4695421455938697
ws,On/Off-Task,Full_Shuffled,0.5682605363984673
ws,On/Off-Task,Full_Shuffled,0.4895938697318008
ws,On/Off-Task,Full_Shuffled,0.5428773946360154
ws,On/Off-Task,Full_Shuffled,0.5041800766283525
ws,On/Off-Task,Full_Shuffled,0.4747509578544062
ws,On/Off-Task,Full_Shuffled,0.4782624521072797
ws,On/Off-Task,Full_Shuffled,0.4992643678160919
ws,On/Off-Task,Full_Shuffled,0.529227969348659
ws,On/Off-Task,Full_Shuffled,0.4845919540229884
ws,On/Off-Task,Full_Shuffled,0.5216896551724138
ws,On/Off-Task,Full_Shuffled,0.5188333333333334
ws,On/Off-Task,Full_Shuffled,0.534095785440613
ws,On/Off-Task,Full_Shuffled,0.5426206896551723
ws,On/Off-Task,Full_Shuffled,0.505227969348659
ws,On/Off-Task,Full_Shuffled,0.535544061302682
ws,On/Off-Task,Full_Shuffled,0.4630708812260535
ws,On/Off-Task,Full_Shuffled,0.5111494252873563
ws,On/Off-Task,Full_Shuffled,0.51722030651341
ws,On/Off-Task,Full_Shuffled,0.5158352490421456
ws,On/Off-Task,Full_Shuffled,0.4915689655172413
ws,On/Off-Task,Full_Shuffled,0.4860747126436782
ws,On/Off-Task,Full_Shuffled,0.5010268199233717
ws,On/Off-Task,Full_Shuffled,0.5474999999999999
ws,On/Off-Task,Full_Shuffled,0.4889042145593869
ws,On/Off-Task,Full_Shuffled,0.5301551724137932
ws,On/Off-Task,Full_Shuffled,0.4939750957854406
ws,On/Off-Task,Full_Shuffled,0.4827394636015325
ws,On/Off-Task,Full_Shuffled,0.4585038314176244
ws,On/Off-Task,Full_Shuffled,0.5206896551724138
ws,On/Off-Task,Full_Shuffled,0.4679482758620689
ws,On/Off-Task,Full_Shuffled,0.4875574712643678
ws,On/Off-Task,Full_Shuffled,0.5743754789272031
ws,On/Off-Task,Full_Shuffled,0.5228754789272031
ws,On/Off-Task,Full_Shuffled,0.4924885057471264
ws,On/Off-Task,Full_Shuffled,0.4666130268199233
ws,On/Off-Task,Full_Shuffled,0.4986800766283525
ws,On/Off-Task,Full_Shuffled,0.4857088122605364
ws,On/Off-Task,Full_Shuffled,0.4820804597701149
ws,On/Off-Task,Full_Shuffled,0.5295134099616859
