trace_index,trace_type,trace_name,row_label,col_label,x,y,subject,label,value
0,violin,Permuted,,On/Off-Task,0.584,29.2,35,,
0,violin,Permuted,,On/Off-Task,0.5458333333333333,31.2,37,,
0,violin,Permuted,,On/Off-Task,0.4625,32.2,38,,
0,violin,Permuted,,On/Off-Task,0.2466666666666666,33.2,39,,
0,violin,Permuted,,On/Off-Task,0.6174999999999999,34.2,40,,
0,violin,Permuted,,On/Off-Task,0.6325,35.2,41,,
0,violin,Permuted,,On/Off-Task,0.7,36.2,42,,
0,violin,Permuted,,On/Off-Task,0.558,37.2,43,,
0,violin,Permuted,,On/Off-Task,0.7444444444444445,1.2,3,,
0,violin,Permuted,,On/Off-Task,0.3475,3.2,5,,
0,violin,Permuted,,On/Off-Task,0.4726666666666667,4.2,6,,
0,violin,Permuted,,On/Off-Task,0.6980000000000001,8.2,10,,
0,violin,Permuted,,On/Off-Task,0.5625,9.2,12,,
0,violin,Permuted,,On/Off-Task,0.65,10.2,14,,
0,violin,Permuted,,On/Off-Task,0.3333333333333333,11.2,15,,
0,violin,Permuted,,On/Off-Task,0.7333333333333334,12.2,17,,
0,violin,Permuted,,On/Off-Task,0.65,14.2,19,,
0,violin,Permuted,,On/Off-Task,0.5841666666666667,16.2,21,,
0,violin,Permuted,,On/Off-Task,0.5791666666666667,17.2,22,,
0,violin,Permuted,,On/Off-Task,0.3888888888888889,18.2,23,,
0,violin,Permuted,,On/Off-Task,0.615,19.2,24,,
0,violin,Permuted,,On/Off-Task,0.4455555555555556,20.2,25,,
0,violin,Permuted,,On/Off-Task,0.5322222222222223,22.2,27,,
0,violin,Permuted,,On/Off-Task,0.61,23.2,28,,
0,violin,Permuted,,On/Off-Task,0.6666666666666667,24.2,29,,
0,violin,Permuted,,On/Off-Task,0.3,25.2,30,,
0,violin,Permuted,,On/Off-Task,0.586,26.2,31,,
0,violin,Permuted,,On/Off-Task,0.6839999999999999,27.2,32,,
0,violin,Permuted,,On/Off-Task,0.6693333333333333,28.2,34,,
0,violin,Permuted,,On/Off-Task,0.384,29.2,35,,
0,violin,Permuted,,On/Off-Task,0.6708333333333333,31.2,37,,
0,violin,Permuted,,On/Off-Task,0.4541666666666667,32.2,38,,
0,violin,Permuted,,On/Off-Task,0.4358333333333333,33.2,39,,
0,violin,Permuted,,On/Off-Task,0.4349999999999999,34.2,40,,
0,violin,Permuted,,On/Off-Task,0.505,35.2,41,,
0,violin,Permuted,,On/Off-Task,0.5866666666666667,36.2,42,,
0,violin,Permuted,,On/Off-Task,0.5439999999999999,37.2,43,,
0,violin,Permuted,,On/Off-Task,0.3111111111111111,1.2,3,,
0,violin,Permuted,,On/Off-Task,0.6375,3.2,5,,
0,violin,Permuted,,On/Off-Task,0.5466666666666667,4.2,6,,
0,violin,Permuted,,On/Off-Task,0.614,8.2,10,,
0,violin,Permuted,,On/Off-Task,0.6,9.2,12,,
0,violin,Permuted,,On/Off-Task,0.4166666666666667,10.2,14,,
0,violin,Permuted,,On/Off-Task,0.3666666666666667,11.2,15,,
0,violin,Permuted,,On/Off-Task,0.6666666666666667,12.2,17,,
0,violin,Permuted,,On/Off-Task,0.1,14.2,19,,
0,violin,Permuted,,On/Off-Task,0.6224999999999999,16.2,21,,
0,violin,Permuted,,On/Off-Task,0.6958333333333333,17.2,22,,
0,violin,Permuted,,On/Off-Task,0.1888888888888888,18.2,23,,
0,violin,Permuted,,On/Off-Task,0.4875,19.2,24,,
0,violin,Permuted,,On/Off-Task,0.4077777777777777,20.2,25,,
0,violin,Permuted,,On/Off-Task,0.3766666666666666,22.2,27,,
0,violin,Permuted,,On/Off-Task,0.3025,23.2,28,,
0,violin,Permuted,,On/Off-Task,0.324,24.2,29,,
0,violin,Permuted,,On/Off-Task,0.5239999999999999,25.2,30,,
0,violin,Permuted,,On/Off-Task,0.48,26.2,31,,
0,violin,Permuted,,On/Off-Task,0.4746666666666667,27.2,32,,
0,violin,Permuted,,On/Off-Task,0.3866666666666666,28.2,34,,
0,violin,Permuted,,On/Off-Task,0.568,29.2,35,,
0,violin,Permuted,,On/Off-Task,0.5458333333333333,31.2,37,,
0,violin,Permuted,,On/Off-Task,0.6666666666666667,32.2,38,,
0,violin,Permuted,,On/Off-Task,0.6066666666666667,33.2,39,,
0,violin,Permuted,,On/Off-Task,0.4175,34.2,40,,
0,violin,Permuted,,On/Off-Task,0.4925,35.2,41,,
0,violin,Permuted,,On/Off-Task,0.3,36.2,42,,
0,violin,Permuted,,On/Off-Task,0.4899999999999999,37.2,43,,
0,violin,Permuted,,On/Off-Task,0.4222222222222221,1.2,3,,
0,violin,Permuted,,On/Off-Task,0.53,3.2,5,,
