subject_id,group,pc,condition,baseline_score,experimental_score,change_score
34,Risk of Depression,PC1,exclusion,0.4019884806390786,-0.404182099549446,-0.8061705801885246
34,Risk of Depression,PC2,inclusion,0.037947363787761784,1.0849756040347764,1.0470282402470146
34,Risk of Depression,PC2,exclusion,0.037947363787761784,0.10862479693579705,0.07067743314803526
34,Risk of Depression,PC3,inclusion,0.6896226830083062,0.17046486017524312,-0.5191578228330631
34,Risk of Depression,PC3,exclusion,0.6896226830083062,0.25772345740297525,-0.43189922560533095
35,Risk of Depression,PC1,inclusion,-1.512529100921257,-0.07272309574321538,1.4398060051780415
35,Risk of Depression,PC1,exclusion,-1.512529100921257,-2.258192962846612,-0.745663861925355
35,Risk of Depression,PC2,inclusion,0.40591580189710574,-0.06027088293843227,-0.466186684835538
35,Risk of Depression,PC2,exclusion,0.40591580189710574,0.8207559126420069,0.4148401107449011
35,Risk of Depression,PC3,inclusion,-0.49990435319041426,-0.053570226108265805,0.4463341270821485
35,Risk of Depression,PC3,exclusion,-0.49990435319041426,-0.6384972306943869,-0.13859287750397264
37,Risk of Depression,PC1,inclusion,-0.14061249632068804,-1.1940176344761582,-1.05340513815547
37,Risk of Depression,PC1,exclusion,-0.14061249632068804,-1.1091373940677303,-0.9685248977470422
37,Risk of Depression,PC2,inclusion,0.2154465380328528,-0.2679148538491147,-0.4833613918819675
37,Risk of Depression,PC2,exclusion,0.2154465380328528,0.5506448925454133,0.33519835451256047
37,Risk of Depression,PC3,inclusion,-0.019867514231723293,0.6970247096935099,0.7168922239252332
37,Risk of Depression,PC3,exclusion,-0.019867514231723293,-1.0776284819506343,-1.057760967718911
38,Risk of Depression,PC1,inclusion,0.44361775486144206,0.9298501246838572,0.48623236982241513
38,Risk of Depression,PC2,inclusion,-1.061174785522718,-0.934589057849622,0.12658572767309606
38,Risk of Depression,PC3,inclusion,-0.2382270134685272,-0.383924337640709,-0.14569732417218179
40,Controls,PC1,inclusion,-1.0061067716848506,0.28868753691068716,1.2947943085955378
40,Controls,PC1,exclusion,-1.0061067716848506,-0.6050034524621344,0.40110331922271625
40,Controls,PC2,inclusion,0.3977846844483214,0.27951832357630757,-0.11826636087201381
40,Controls,PC2,exclusion,0.3977846844483214,0.016991930613317593,-0.38079275383500377
40,Controls,PC3,inclusion,-0.35135009974009557,-0.24176251683912078,0.10958758290097478
