contrast,label,marker,rho_across_subjects,p_across_subjects,mean_share_ws,mean_share_loso,mean_direction_ws,mean_direction_loso,sign_concordance,p_sign_concordance,n_rois,n_comparable_subjects,n_subjects,p_across_subjects_fdr,p_sign_concordance_fdr
time,Time,slowwaves_Frequency,0.34065934065934067,0.039896010398960104,0.033672710620867054,0.04024678899848129,-0.0640496294421781,-0.45253107552053257,0.48148148148148145,1.0,9,27,27,0.9176082391760824,1.0
time,Time,slowwaves_PTP,-0.0989010989010989,0.6856314368563143,0.03961111225361426,0.04061642629207765,-0.004634344796136337,-0.2736572881809246,0.4444444444444444,0.7011080384254456,9,27,27,0.9964003599640036,0.9485579343403088
time,Time,slowwaves_Slope,-0.07692307692307693,0.6518348165183482,0.03742710249412927,0.05231440989414687,-0.05472247020064886,-0.35843684707722206,0.5185185185185185,1.0,9,27,27,0.9964003599640036,1.0
time,Time,wsmi_alpha,-0.11233211233211234,0.7047295270472953,0.042456602144450115,0.04799682470865422,0.01586508744186216,0.01774958243302155,0.2962962962962963,0.052238985896110535,9,27,27,0.9964003599640036,0.3003741689026356
time,Time,wsmi_beta,0.07875457875457875,0.3568643135686431,0.04211175857577727,0.03552047420061326,0.015640071334655108,0.16213920412172084,0.4444444444444444,0.7011080384254456,9,27,27,0.9964003599640036,0.9485579343403088
time,Time,wsmi_gamma,0.04884004884004883,0.40835916408359163,0.04450143404150846,0.03334218713678397,0.012220799354743692,-0.1414245802861213,0.2962962962962963,0.052238985896110535,9,27,27,0.9964003599640036,0.3003741689026356
time,Time,wsmi_theta,-0.29975579975579975,0.932906709329067,0.04818450025131882,0.04232428182238625,0.09931599762700005,0.3416918010579013,0.6296296296296297,0.24778856337070465,9,27,27,0.9964003599640036,0.5181033597751097
confidence,Confidence,N1,-0.2440711462450593,0.8702129787021298,0.05340920746784329,0.03891893652068424,0.15649085317923728,0.7308369649635045,0.6818181818181818,0.13380050659179688,1,22,23,0.997000299970003,0.34193462795681423
confidence,Confidence,P1,-0.3359683794466403,0.942905709429057,0.03386177328430927,0.023761956055511645,0.07838224867892617,0.36454798145560957,0.45454545454545453,0.8318119049072266,1,22,23,0.997000299970003,0.8696215369484641
confidence,Confidence,P3a,0.3191699604743083,0.07029297070292971,0.032725171479992855,0.023207468404783063,-0.018950966865102867,0.4690764498259845,0.45454545454545453,0.8318119049072266,1,22,23,0.6186381361863813,0.8696215369484641
confidence,Confidence,P3b,-0.03063241106719368,0.5513448655134486,0.04954263487372923,0.025866161234977463,-0.0032696471220795276,-0.04885296060508998,0.045454545454545456,1.0967254638671875e-05,1,22,23,0.997000299970003,0.0002522468566894531
