contrast,label,subject,n_features_compared,rho_magnitude,p_magnitude,reliability_ws,reliability_loso,noise_ceiling,rho_magnitude_corrected,pct_of_ceiling,n_features_used_ws,n_features_used_loso,p_magnitude_fdr
confidence,Confidence,28,175,0.004117778772951187,0.48755124487551244,0.9919168252377437,0.994414791514446,0.9931650230291349,0.004146117389829173,0.4146117389829173,171.94,175.0,0.8894802827409568
confidence,Confidence,29,175,-0.11136811464397672,0.926907309269073,0.9905873285484551,0.9954947964111319,0.9930380309740364,-0.11214889175466887,-11.214889175466887,174.98,175.0,0.9872285498722855
confidence,Confidence,30,175,0.15575011195700852,0.021597840215978402,0.9947101857062466,0.9943491247842501,0.9945296388599916,0.15660680775239802,15.660680775239802,174.69,175.0,0.12418758124187582
confidence,Confidence,31,175,0.019876847290640393,0.39606039396060394,0.9906831420806708,0.9966277165304798,0.9936509838454847,0.0200038520705891,2.00038520705891,170.28,175.0,0.8894802827409568
confidence,Confidence,32,175,0.046831616659202865,0.27117288271172885,0.9932201288344596,0.9958629373145067,0.9945406552278181,0.04708869005307301,4.7088690053073,174.67,175.0,0.8894802827409568
confidence,Confidence,35,175,-0.030868786386027768,0.6547345265473453,0.9821534997304964,0.99392094867893,0.9880197053705286,-0.03124308778280015,-3.124308778280015,158.86,175.0,0.9872285498722855
confidence,Confidence,37,175,-0.048383340797133904,0.7315268473152685,0.9946807672481132,0.9969094208757839,0.9957944705779386,-0.048587677705273065,-4.858767770527306,174.95,175.0,0.9872285498722855
confidence,Confidence,38,175,-0.06673981191222571,0.8103189681031897,0.9892314447245848,0.993618287032864,0.9914224395212604,-0.06731722951969206,-6.731722951969206,174.75,175.0,0.9872285498722855
confidence,Confidence,40,175,0.1840931482310793,0.008599140085991401,0.992963877970728,0.9955557954586347,0.9942589921116323,0.18515613103995937,18.515613103995936,155.14,175.0,0.06592674065926742
confidence,Confidence,41,175,-0.12026421854008063,0.9443055694430557,0.9856213069494935,0.9966457503476692,0.9911182003289659,-0.12134195346242584,-12.134195346242585,173.79,175.0,0.9872285498722855
confidence,Confidence,42,175,-0.22222570532915362,0.9991000899910009,0.9867179736174577,0.9947486533998698,0.9907251765961206,-0.22430610483995628,-22.43061048399563,173.7,175.0,0.9991000899910009
