perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
2915,62,2,0,0,0.96875,0,False
2916,63,1,0,0,0.984375,0,False
2917,64,0,0,0,1.0,0,False
2918,63,0,1,0,0.984375,1,False
2919,63,1,0,0,0.984375,0,False
2920,62,1,1,0,0.96875,1,False
2921,62,2,0,0,0.96875,0,False
2922,62,2,0,0,0.96875,0,False
2923,62,2,0,0,0.96875,0,False
2924,64,0,0,0,1.0,0,False
2925,62,2,0,0,0.96875,0,False
2926,64,0,0,0,1.0,0,False
2927,63,1,0,0,0.984375,0,False
2928,62,2,0,0,0.96875,0,False
2929,62,2,0,0,0.96875,0,False
2930,62,2,0,0,0.96875,0,False
2931,63,1,0,0,0.984375,0,False
2932,62,2,0,0,0.96875,0,False
2933,62,2,0,0,0.96875,0,False
2934,63,1,0,0,0.984375,0,False
2935,61,3,0,0,0.953125,0,False
2936,63,1,0,0,0.984375,0,False
2937,63,1,0,0,0.984375,0,False
2938,60,4,0,0,0.9375,0,False
2939,62,2,0,0,0.96875,0,False
2940,62,2,0,0,0.96875,0,False
2941,63,1,0,0,0.984375,0,False
2942,62,2,0,0,0.96875,0,False
2943,64,0,0,0,1.0,0,False
2944,63,1,0,0,0.984375,0,False
2945,62,2,0,0,0.96875,0,False
2946,64,0,0,0,1.0,0,False
2947,63,1,0,0,0.984375,0,False
2948,62,2,0,0,0.96875,0,False
2949,63,1,0,0,0.984375,0,False
2950,64,0,0,0,1.0,0,False
2951,63,1,0,0,0.984375,0,False
2952,64,0,0,0,1.0,0,False
2953,63,1,0,0,0.984375,0,False
2954,61,3,0,0,0.953125,0,False
2955,63,1,0,0,0.984375,0,False
2956,63,1,0,0,0.984375,0,False
2957,62,2,0,0,0.96875,0,False
2958,63,1,0,0,0.984375,0,False
2959,63,1,0,0,0.984375,0,False
2960,62,2,0,0,0.96875,0,False
2961,64,0,0,0,1.0,0,False
2962,61,3,0,0,0.953125,0,False
2963,62,2,0,0,0.96875,0,False
2964,63,1,0,0,0.984375,0,False
