perm_idx,auc,balanced_accuracy,auprc
370,0.5222222222222223,0.5583333333333333,0.4345528773347178
371,0.4194444444444445,0.41666666666666663,0.25003158719385815
372,0.43611111111111117,0.4666666666666667,0.2655984204582603
373,0.33055555555555555,0.36666666666666664,0.24694793545943683
374,0.4222222222222223,0.43333333333333335,0.28806918470832643
375,0.5555555555555555,0.5666666666666667,0.42377956072596634
376,0.525,0.4666666666666667,0.31797316902961525
377,0.5805555555555556,0.5583333333333333,0.5070941914691914
378,0.45555555555555555,0.4833333333333333,0.3595869574497448
379,0.4305555555555555,0.4,0.27390896857610963
380,0.42777777777777776,0.5416666666666666,0.2651393726275674
381,0.5638888888888889,0.5916666666666667,0.38483691159774747
382,0.4388888888888889,0.4833333333333333,0.2700084493703309
383,0.6972222222222222,0.6416666666666666,0.5906983947425125
384,0.4388888888888889,0.41666666666666663,0.26459974419087695
385,0.3388888888888889,0.31666666666666665,0.22895504274277495
386,0.5111111111111111,0.45833333333333337,0.29343585060239186
387,0.5638888888888889,0.6333333333333333,0.32925769284321915
388,0.3277777777777778,0.425,0.2296013017779447
389,0.3111111111111111,0.375,0.22553840964038804
390,0.4305555555555555,0.4833333333333333,0.331616407940033
391,0.6833333333333333,0.625,0.4774152066071207
392,0.2916666666666667,0.3833333333333333,0.22249792202444274
393,0.48333333333333334,0.5083333333333333,0.30477126297378854
394,0.6694444444444445,0.625,0.5055216234382901
395,0.5972222222222222,0.5666666666666667,0.4367768137331292
396,0.3361111111111111,0.4,0.22932137752055967
397,0.35277777777777786,0.425,0.2423641122239753
398,0.3638888888888889,0.3666666666666667,0.2423375160181374
399,0.3138888888888889,0.35,0.22907331362804767
400,0.3277777777777778,0.425,0.3102477198005653
401,0.8027777777777778,0.675,0.6073526719317796
402,0.3805555555555556,0.4083333333333333,0.24372983401184622
403,0.2944444444444445,0.4666666666666667,0.22543623500617727
404,0.33888888888888885,0.41666666666666663,0.22663468251505886
405,0.6666666666666667,0.5583333333333333,0.46280310734333
406,0.5055555555555556,0.4916666666666667,0.4225052560260718
407,0.6416666666666667,0.5916666666666667,0.4840161120269479
408,0.5694444444444444,0.575,0.3620402035956643
409,0.5583333333333333,0.5916666666666667,0.3226620794635501
410,0.5166666666666666,0.5666666666666667,0.30356502737888186
411,0.4166666666666667,0.41666666666666663,0.3033472844231358
412,0.4222222222222222,0.43333333333333335,0.25429031669272617
413,0.4194444444444445,0.425,0.2577892710433376
414,0.3388888888888889,0.5,0.23396416501062228
415,0.6916666666666667,0.6666666666666666,0.4419996451711269
416,0.5555555555555556,0.525,0.34801256631706423
417,0.5944444444444444,0.6333333333333333,0.37809649039487747
418,0.4333333333333333,0.4916666666666667,0.2599784380495587
419,0.6277777777777778,0.6,0.4419095745204616
420,0.5361111111111111,0.5,0.4434011907970241
421,0.36111111111111116,0.36666666666666664,0.27520800096052117
422,0.6027777777777777,0.5083333333333333,0.3754579935472945
423,0.5083333333333333,0.5,0.2930349120084583
424,0.45833333333333337,0.5583333333333333,0.2937847352390081
425,0.29444444444444445,0.35,0.2188525092478283
426,0.6805555555555555,0.7166666666666667,0.48877115868657955
427,0.6777777777777778,0.6333333333333333,0.6182763241480347
428,0.49444444444444446,0.575,0.3859399085409997
429,0.6138888888888888,0.625,0.4686653134447252
430,0.4277777777777778,0.44999999999999996,0.2942491740285858
431,0.38055555555555554,0.475,0.24612573690211542
432,0.6,0.5833333333333333,0.4849304634134355
433,0.7027777777777777,0.7333333333333334,0.5048756535545152
434,0.49444444444444446,0.4666666666666667,0.2923674077910011
435,0.5805555555555556,0.575,0.4015745017194292
436,0.4722222222222222,0.44999999999999996,0.3408171111296111
437,0.6305555555555555,0.525,0.51775129152367
438,0.4666666666666667,0.4916666666666667,0.2887256611951734
439,0.28888888888888886,0.36666666666666664,0.22191126671100506
440,0.7000000000000001,0.6416666666666666,0.5058118995618996
441,0.5194444444444444,0.4916666666666667,0.30027999585331155
442,0.49444444444444446,0.4583333333333333,0.2856697691220954
443,0.825,0.7333333333333334,0.7250169175414274
444,0.45833333333333337,0.44999999999999996,0.2901494724411391
445,0.5333333333333333,0.575,0.42847152613144324
446,0.47222222222222227,0.475,0.2946376196109785
447,0.41944444444444445,0.45833333333333337,0.2592108384923596
448,0.3555555555555555,0.375,0.24526374654642175
449,0.5111111111111112,0.4666666666666667,0.3583753300196923
450,0.4222222222222223,0.5083333333333333,0.29641395327137016
451,0.3583333333333333,0.36666666666666664,0.23463383285673037
452,0.38333333333333336,0.43333333333333335,0.31220574443080834
453,0.663888888888889,0.6416666666666666,0.578101106024493
454,0.40555555555555556,0.44999999999999996,0.2645599308099308
455,0.26666666666666666,0.2916666666666667,0.21002196168960507
456,0.625,0.5833333333333333,0.4210241953364418
457,0.5388888888888889,0.5166666666666666,0.3260978215259649
458,0.5833333333333334,0.525,0.4918190675926057
459,0.43611111111111106,0.44999999999999996,0.35356860600840684
460,0.5055555555555555,0.55,0.2884053175085784
461,0.49444444444444446,0.6,0.500424411110835
462,0.5194444444444444,0.44999999999999996,0.3186667556560735
463,0.4055555555555555,0.425,0.2774493704680384
