valence,selfother,time,Cluster,subject_id,task,probe_number
50.0,12.0,76.0,0,12,Sart2,7.0
52.0,1.0,78.0,0,12,Sart2,8.0
52.0,17.0,82.0,0,12,Sart2,9.0
52.0,39.0,52.0,1,12,Sart2,10.0
31.0,33.0,32.0,3,12,Sart2,12.0
43.0,37.0,48.0,1,12,Sart2,13.0
60.0,35.0,36.0,3,12,Sart2,14.0
51.0,25.0,64.0,0,12,Sart2,15.0
9.0,6.0,91.0,2,12,Sart3,1.0
22.0,8.0,11.0,3,12,Sart3,4.0
20.0,17.0,13.0,3,12,Sart3,5.0
28.0,8.0,8.0,3,12,Sart3,6.0
19.0,13.0,21.0,2,12,Sart3,7.0
31.0,9.0,27.0,3,12,Sart3,8.0
12.0,14.0,84.0,2,12,Sart3,9.0
1.0,3.0,93.0,2,12,Sart3,10.0
36.0,34.0,34.0,3,12,Sart3,11.0
37.0,31.0,38.0,3,12,Sart3,12.0
5.0,8.0,5.0,2,12,Sart4,1.0
82.0,69.0,85.0,1,14,Sart2,1.0
84.0,66.0,80.0,1,14,Sart2,12.0
69.0,57.0,65.0,0,14,Sart3,2.0
53.0,51.0,53.0,2,14,Sart3,3.0
75.0,72.0,52.0,3,14,Sart3,14.0
77.0,78.0,78.0,1,14,Sart4,1.0
66.0,67.0,54.0,3,14,Sart4,2.0
58.0,53.0,50.0,2,14,Sart4,4.0
85.0,35.0,48.0,0,15,Sart2,12.0
70.0,56.0,29.0,3,15,Sart3,4.0
49.0,58.0,47.0,2,15,Sart4,1.0
56.0,57.0,64.0,1,15,Sart4,8.0
38.0,48.0,77.0,2,15,Sart4,12.0
51.0,55.0,50.0,0,17,Sart2,9.0
51.0,56.0,50.0,1,17,Sart2,13.0
89.0,73.0,82.0,1,18,Sart1,1.0
87.0,74.0,77.0,2,18,Sart1,2.0
95.0,45.0,51.0,3,18,Sart1,3.0
95.0,44.0,78.0,0,18,Sart1,4.0
99.0,37.0,99.0,0,18,Sart1,5.0
99.0,52.0,92.0,0,18,Sart1,6.0
96.0,74.0,75.0,1,18,Sart1,7.0
97.0,74.0,71.0,1,18,Sart1,8.0
95.0,80.0,89.0,1,18,Sart1,9.0
96.0,82.0,86.0,1,18,Sart1,10.0
93.0,79.0,73.0,1,18,Sart1,11.0
