perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
303,62,2,0,0,0.96875,0,False
304,62,2,0,0,0.96875,0,False
305,62,2,0,0,0.96875,0,False
306,62,2,0,0,0.96875,0,False
307,62,2,0,0,0.96875,0,False
308,62,2,0,0,0.96875,0,False
309,62,2,0,0,0.96875,0,False
310,62,2,0,0,0.96875,0,False
311,62,2,0,0,0.96875,0,False
312,62,2,0,0,0.96875,0,False
313,62,2,0,0,0.96875,0,False
314,62,2,0,0,0.96875,0,False
315,62,2,0,0,0.96875,0,False
316,62,2,0,0,0.96875,0,False
317,62,2,0,0,0.96875,0,False
318,62,2,0,0,0.96875,0,False
319,62,2,0,0,0.96875,0,False
320,62,2,0,0,0.96875,0,False
321,62,2,0,0,0.96875,0,False
322,62,2,0,0,0.96875,0,False
323,62,2,0,0,0.96875,0,False
324,62,2,0,0,0.96875,0,False
325,62,2,0,0,0.96875,0,False
326,62,2,0,0,0.96875,0,False
327,62,2,0,0,0.96875,0,False
328,62,2,0,0,0.96875,0,False
329,62,2,0,0,0.96875,0,False
330,62,2,0,0,0.96875,0,False
331,62,2,0,0,0.96875,0,False
332,62,2,0,0,0.96875,0,False
333,62,2,0,0,0.96875,0,False
334,62,2,0,0,0.96875,0,False
335,62,2,0,0,0.96875,0,False
336,62,2,0,0,0.96875,0,False
337,62,2,0,0,0.96875,0,False
338,62,2,0,0,0.96875,0,False
339,62,2,0,0,0.96875,0,False
340,62,2,0,0,0.96875,0,False
341,62,2,0,0,0.96875,0,False
342,62,2,0,0,0.96875,0,False
343,62,2,0,0,0.96875,0,False
344,62,2,0,0,0.96875,0,False
345,62,2,0,0,0.96875,0,False
346,62,2,0,0,0.96875,0,False
347,62,2,0,0,0.96875,0,False
348,62,2,0,0,0.96875,0,False
349,62,2,0,0,0.96875,0,False
350,62,2,0,0,0.96875,0,False
351,62,2,0,0,0.96875,0,False
352,62,2,0,0,0.96875,0,False
353,62,2,0,0,0.96875,0,False
354,62,2,0,0,0.96875,0,False
355,62,2,0,0,0.96875,0,False
356,62,2,0,0,0.96875,0,False
357,62,2,0,0,0.96875,0,False
358,62,2,0,0,0.96875,0,False
359,62,2,0,0,0.96875,0,False
360,62,2,0,0,0.96875,0,False
361,62,2,0,0,0.96875,0,False
362,62,2,0,0,0.96875,0,False
363,62,2,0,0,0.96875,0,False
364,62,2,0,0,0.96875,0,False
365,62,2,0,0,0.96875,0,False
366,62,2,0,0,0.96875,0,False
367,62,2,0,0,0.96875,0,False
368,62,2,0,0,0.96875,0,False
369,62,2,0,0,0.96875,0,False
370,62,2,0,0,0.96875,0,False
371,62,2,0,0,0.96875,0,False
372,62,2,0,0,0.96875,0,False
373,62,2,0,0,0.96875,0,False
374,62,2,0,0,0.96875,0,False
375,62,2,0,0,0.96875,0,False
376,62,2,0,0,0.96875,0,False
377,62,2,0,0,0.96875,0,False
378,62,2,0,0,0.96875,0,False
379,62,2,0,0,0.96875,0,False
380,62,2,0,0,0.96875,0,False
381,62,2,0,0,0.96875,0,False
382,62,2,0,0,0.96875,0,False
383,62,2,0,0,0.96875,0,False
384,62,2,0,0,0.96875,0,False
385,62,2,0,0,0.96875,0,False
386,62,2,0,0,0.96875,0,False
387,62,2,0,0,0.96875,0,False
388,62,2,0,0,0.96875,0,False
389,62,2,0,0,0.96875,0,False
390,62,2,0,0,0.96875,0,False
391,62,2,0,0,0.96875,0,False
392,62,2,0,0,0.96875,0,False
393,62,2,0,0,0.96875,0,False
394,62,2,0,0,0.96875,0,False
395,62,2,0,0,0.96875,0,False
396,62,2,0,0,0.96875,0,False
397,62,2,0,0,0.96875,0,False
398,62,2,0,0,0.96875,0,False
399,62,2,0,0,0.96875,0,False
400,62,2,0,0,0.96875,0,False
401,62,2,0,0,0.96875,0,False
402,62,2,0,0,0.96875,0,False
403,62,2,0,0,0.96875,0,False
404,62,2,0,0,0.96875,0,False
405,62,2,0,0,0.96875,0,False
406,62,2,0,0,0.96875,0,False
407,62,2,0,0,0.96875,0,False
408,62,2,0,0,0.96875,0,False
409,62,2,0,0,0.96875,0,False
410,62,2,0,0,0.96875,0,False
411,62,2,0,0,0.96875,0,False
412,62,2,0,0,0.96875,0,False
413,62,2,0,0,0.96875,0,False
414,62,2,0,0,0.96875,0,False
415,62,2,0,0,0.96875,0,False
416,62,2,0,0,0.96875,0,False
417,62,2,0,0,0.96875,0,False
418,62,2,0,0,0.96875,0,False
419,62,2,0,0,0.96875,0,False
420,62,2,0,0,0.96875,0,False
421,62,2,0,0,0.96875,0,False
422,62,2,0,0,0.96875,0,False
423,62,2,0,0,0.96875,0,False
424,62,2,0,0,0.96875,0,False
425,62,2,0,0,0.96875,0,False
426,62,2,0,0,0.96875,0,False
427,62,2,0,0,0.96875,0,False
428,62,2,0,0,0.96875,0,False
429,62,2,0,0,0.96875,0,False
430,62,2,0,0,0.96875,0,False
431,62,2,0,0,0.96875,0,False
432,62,2,0,0,0.96875,0,False
433,62,2,0,0,0.96875,0,False
434,62,2,0,0,0.96875,0,False
435,62,2,0,0,0.96875,0,False
436,62,2,0,0,0.96875,0,False
437,62,2,0,0,0.96875,0,False
438,62,2,0,0,0.96875,0,False
439,62,2,0,0,0.96875,0,False
440,62,2,0,0,0.96875,0,False
441,62,2,0,0,0.96875,0,False
442,62,2,0,0,0.96875,0,False
443,62,2,0,0,0.96875,0,False
444,62,2,0,0,0.96875,0,False
445,62,2,0,0,0.96875,0,False
446,62,2,0,0,0.96875,0,False
447,62,2,0,0,0.96875,0,False
448,62,2,0,0,0.96875,0,False
449,62,2,0,0,0.96875,0,False
450,62,2,0,0,0.96875,0,False
451,62,2,0,0,0.96875,0,False
452,62,2,0,0,0.96875,0,False
453,62,2,0,0,0.96875,0,False
454,62,2,0,0,0.96875,0,False
455,62,2,0,0,0.96875,0,False
456,62,2,0,0,0.96875,0,False
457,62,2,0,0,0.96875,0,False
458,62,2,0,0,0.96875,0,False
459,62,2,0,0,0.96875,0,False
460,62,2,0,0,0.96875,0,False
461,62,2,0,0,0.96875,0,False
462,62,2,0,0,0.96875,0,False
463,62,2,0,0,0.96875,0,False
464,62,2,0,0,0.96875,0,False
465,62,2,0,0,0.96875,0,False
466,62,2,0,0,0.96875,0,False
467,62,2,0,0,0.96875,0,False
468,62,2,0,0,0.96875,0,False
469,62,2,0,0,0.96875,0,False
470,62,2,0,0,0.96875,0,False
471,62,2,0,0,0.96875,0,False
472,62,2,0,0,0.96875,0,False
473,62,2,0,0,0.96875,0,False
474,62,2,0,0,0.96875,0,False
475,62,2,0,0,0.96875,0,False
476,62,2,0,0,0.96875,0,False
477,62,2,0,0,0.96875,0,False
478,62,2,0,0,0.96875,0,False
479,62,2,0,0,0.96875,0,False
480,62,2,0,0,0.96875,0,False
481,62,2,0,0,0.96875,0,False
482,62,2,0,0,0.96875,0,False
483,62,2,0,0,0.96875,0,False
484,62,2,0,0,0.96875,0,False
485,62,2,0,0,0.96875,0,False
486,62,2,0,0,0.96875,0,False
487,62,2,0,0,0.96875,0,False
488,62,2,0,0,0.96875,0,False
489,62,2,0,0,0.96875,0,False
490,62,2,0,0,0.96875,0,False
491,62,2,0,0,0.96875,0,False
492,62,2,0,0,0.96875,0,False
493,62,2,0,0,0.96875,0,False
494,62,2,0,0,0.96875,0,False
495,62,2,0,0,0.96875,0,False
496,62,2,0,0,0.96875,0,False
497,62,2,0,0,0.96875,0,False
498,62,2,0,0,0.96875,0,False
499,62,2,0,0,0.96875,0,False
500,62,2,0,0,0.96875,0,False
501,62,2,0,0,0.96875,0,False
502,62,2,0,0,0.96875,0,False
503,62,2,0,0,0.96875,0,False
504,62,2,0,0,0.96875,0,False
505,62,2,0,0,0.96875,0,False
506,62,2,0,0,0.96875,0,False
507,62,2,0,0,0.96875,0,False
508,62,2,0,0,0.96875,0,False
509,62,2,0,0,0.96875,0,False
510,62,2,0,0,0.96875,0,False
511,62,2,0,0,0.96875,0,False
512,62,2,0,0,0.96875,0,False
513,62,2,0,0,0.96875,0,False
514,62,2,0,0,0.96875,0,False
515,62,2,0,0,0.96875,0,False
516,62,2,0,0,0.96875,0,False
517,62,2,0,0,0.96875,0,False
518,62,2,0,0,0.96875,0,False
519,62,2,0,0,0.96875,0,False
520,62,2,0,0,0.96875,0,False
521,62,2,0,0,0.96875,0,False
522,62,2,0,0,0.96875,0,False
523,62,2,0,0,0.96875,0,False
524,62,2,0,0,0.96875,0,False
525,62,2,0,0,0.96875,0,False
526,62,2,0,0,0.96875,0,False
527,62,2,0,0,0.96875,0,False
528,62,2,0,0,0.96875,0,False
529,62,2,0,0,0.96875,0,False
530,62,2,0,0,0.96875,0,False
531,62,2,0,0,0.96875,0,False
532,62,2,0,0,0.96875,0,False
533,62,2,0,0,0.96875,0,False
534,62,2,0,0,0.96875,0,False
535,62,2,0,0,0.96875,0,False
536,62,2,0,0,0.96875,0,False
537,62,2,0,0,0.96875,0,False
538,62,2,0,0,0.96875,0,False
539,62,2,0,0,0.96875,0,False
540,62,2,0,0,0.96875,0,False
541,62,2,0,0,0.96875,0,False
542,62,2,0,0,0.96875,0,False
543,62,2,0,0,0.96875,0,False
544,62,2,0,0,0.96875,0,False
545,62,2,0,0,0.96875,0,False
546,62,2,0,0,0.96875,0,False
547,62,2,0,0,0.96875,0,False
548,62,2,0,0,0.96875,0,False
549,62,2,0,0,0.96875,0,False
550,62,2,0,0,0.96875,0,False
551,62,2,0,0,0.96875,0,False
552,62,2,0,0,0.96875,0,False
553,62,2,0,0,0.96875,0,False
554,62,2,0,0,0.96875,0,False
555,62,2,0,0,0.96875,0,False
556,62,2,0,0,0.96875,0,False
557,62,2,0,0,0.96875,0,False
558,62,2,0,0,0.96875,0,False
559,62,2,0,0,0.96875,0,False
560,62,2,0,0,0.96875,0,False
561,62,2,0,0,0.96875,0,False
562,62,2,0,0,0.96875,0,False
563,62,2,0,0,0.96875,0,False
