channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
F2,-4.755192618279437e-05,0.0007269869644801298,-0.06540959949233598,-0.06540959949233598,0.9478478811596182,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
F3,-2.6248088785947016e-05,0.0007334695565109422,-0.03578620073995591,-0.03578620073995591,0.9714528362343131,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
F4,-0.0006597915129794843,0.0006197295519879864,-1.064644264361746,-1.064644264361746,0.28703694087291753,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
F5,-0.00023366874967833178,0.0006866128123463661,-0.340320986554,-0.340320986554,0.7336148143900303,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
F6,-0.0006316713707447081,0.0006912806618490302,-0.9137697690763116,-0.9137697690763116,0.3608378345848926,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
F7,0.0006293087990494179,0.0005608207406595047,1.1221211225344014,1.1221211225344014,0.26181094404334215,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
F8,0.0009119512194778479,0.0006257712370430642,1.4573236439997792,1.4573236439997792,0.14502706315921976,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
FC1,-0.00030428362314265887,0.0005642409917160262,-0.5392795412067476,-0.5392795412067476,0.5896939833733807,0.9951000610551283,False,False,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
FC2,0.00046304664147072533,0.0005641730687505106,0.8207528276673102,0.8207528276673102,0.4117870731374267,0.9951000610551283,False,True,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
FC3,-0.00011461830266853315,0.0005653274632475241,-0.2027467443561086,-0.2027467443561086,0.8393329851409995,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
