channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
FT10,-6.068515729082047e-13,7.283730352553832e-13,-0.8331604048129397,-0.8331604048129397,0.40475427015943777,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT7,1.4634146277861035e-13,2.4861772452902096e-13,0.588620393239614,0.588620393239614,0.556115950537454,0.9877602784809891,False,True,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT8,-2.45336618944385e-13,4.490994036779528e-13,-0.5462857820232484,-0.5462857820232484,0.5848695080248347,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FT9,-2.088872703198611e-14,3.593028542537859e-13,-0.05813682464440375,-0.05813682464440375,0.9536396421598602,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fp1,1.6411144004016166e-12,2.5085402056132386e-12,0.6542109218458506,0.6542109218458506,0.5129759259959432,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fp2,1.4815683421637057e-12,2.696034121831971e-12,0.5495361984354157,0.5495361984354157,0.5826375299359965,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Fz,-8.595602608374077e-13,9.148526664675977e-13,-0.9395614095505855,-0.9395614095505855,0.3474425787720866,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Iz,-5.768053936560714e-12,6.721122273361049e-12,-0.8581980362747171,-0.8581980362747171,0.39078312018923145,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O1,2.84187369249576e-14,4.988088453901328e-13,0.05697320163344435,0.05697320163344435,0.9545665424551344,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
O2,2.657751254103723e-13,5.141875688169757e-13,0.5168836073222426,0.5168836073222426,0.605237411508231,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Oz,2.580805064154454e-13,4.3906297963978126e-13,0.5877983760488789,0.5877983760488789,0.5566676341945282,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P1,2.52527448865329e-13,1.9960492675283335e-13,1.265136351960032,1.265136351960032,0.2058224536820482,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P2,-5.182406792047721e-14,3.5441979763165913e-13,-0.14622227163036997,-0.14622227163036997,0.8837459243019716,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P3,7.997150408852605e-14,3.1874301748193246e-13,0.250896489342105,0.250896489342105,0.8018941387205354,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P4,-6.220534268327123e-14,3.465743466465633e-13,-0.17948628709876288,-0.17948628709876288,0.8575558838011723,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P5,-8.904169078914027e-14,4.3724847479673365e-13,-0.20364094084155152,-0.20364094084155152,0.838634097295117,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P6,-1.0114410676063261e-13,4.861199974731334e-13,-0.20806407324607662,-0.20806407324607662,0.8351789386514362,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P7,5.156402826649258e-15,3.3612307521075364e-13,0.015340817715106663,0.015340817715106663,0.9877602784809891,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
P8,9.653286077504329e-14,4.694589925774337e-13,0.20562575709766795,0.20562575709766795,0.8370832561934411,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO3,7.085844356193267e-14,3.798870986516493e-13,0.18652500654387524,0.18652500654387524,0.8520330705610332,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO4,4.4785739406485605e-14,5.42715402889118e-13,0.08252159265808744,0.08252159265808744,0.9342319484336317,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO7,2.2200536402919654e-13,5.601481754312915e-13,0.3963332806685684,0.3963332806685684,0.6918591787067672,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO8,1.3991198699901167e-13,6.473189561314729e-13,0.2161407227051683,0.2161407227051683,0.8288780577223339,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
POz,1.579467693179968e-13,3.618815036192111e-13,0.4364599122595552,0.4364599122595552,0.6625030783879496,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Pz,3.8413400441696055e-14,2.911317392040949e-13,0.1319450793881554,0.1319450793881554,0.8950277321101202,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T7,-1.4122642488105124e-13,2.053723708855027e-13,-0.6876602937002976,-0.6876602937002976,0.4916667297776769,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T8,1.5830930827624297e-13,3.107637488370372e-13,0.509420126603182,0.509420126603182,0.6104577717324624,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP10,3.3372149984371625e-13,5.104209187947852e-13,0.6538162672323566,0.6538162672323566,0.5132301848195802,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP7,-3.44552872705785e-13,5.189934195299301e-13,-0.6638867849574244,-0.6638867849574244,0.506762774896772,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP8,1.3449276246389864e-13,3.5677695146406927e-13,0.3769659500480465,0.3769659500480465,0.7061989093359586,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP9,-3.3085523102975745e-13,3.9108406016865037e-13,-0.8459951829462956,-0.8459951829462956,0.39755543151311845,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
